Address,Return amount
0x05DaFe00715aF572272BD419C9cC2c33ea4818f1,5.659461737240624e-07
0x060792e78cD2B54DC2D269012D693f98E088FF2D,1.3030163759291182e-07
0x061ab6336335401e3318a82385d5bc30e6D7390d,9.476360210508721e-07
0x06270e5c904764bF075De4D7B228b83DC143be2C,4.007478442748678e-07
0x06440C74B4bD3FBCE70E83601F687bfEB7bbBbbB,8.695955980451714e-07
0x065C479540BC24f22552a3829bfb1b23362F2079,2.6472470218251656e-07
0x065b46F3138e796e2c17446bA7b560E8F8F68210,4.419548339933685e-08
0x067626bf3928d1551FdA65465C1c9E943D1573EE,6.3392132770168195e-06
0x0678c570E3b36950e418672f5e544cBe8DCb00d6,5.687432373258473e-06
0x06b6e55622bA9f599a38257e2c7640007c285Ae4,1.7411034266195285e-07
0x06c6635E0aDF77bBFF9843260393081e98873E18,5.854013063998948e-06
0x06dAEcc278D2067a0a91d307e5B73CC8AFc48c8A,4.8952121054372406e-05
0x0732250d8349fcA04AaF01590cd943B9371Be6ED,4.913617951446347e-07
0x074b85c349b8FB91B54fe91C9562Fa136D2EbaE2,3.1959290637553303e-08
0x07572CaBb22C3634675d4892275b68A2E462E0Cd,1.416561366418786e-06
0x0773eFc9e7DBe610306a66a183eD42F827Cc70B5,0.011718857777674549
0x07C171D8d18e5c90894b84b18C14Ee82d4328BB5,5.4996017387975e-07
0x07a1f6fc89223c5ebD4e4ddaE89Ac97629856A0f,0.0017751911949160507
0x07cE7460C5a7ac4c5703eF73674FB1D27E30a1d2,4.981897575709049e-06
0x07d2cce0EE35A2d087ca75cd2f024f734E9e59De,9.648610257147366e-07
0x080BE7e267c2edc3aC7137873d11F89AC1aacdA0,0.018146741156729426
0x08271701147AAc14f34B9a3A90FF1a3425F61174,0.0009347875923422699
0x08657fd0C5f87D685f92D8c6c0923C55B1DC83F9,5.770861318897196e-06
0x086baac117d563270EC8ECBd465D6efB10f9f9F4,7.675558775399847e-06
0x08Aa2DbE6c3D06014b8f8d0a231C781CA305932F,1.4722511658232341e-06
0x08B97DF0e6Fa59fecA478EC685Ef570Fa1B51878,2.9902781600394286e-05
0x08D14738A201212c7Da56096ACBA7640087A486A,6.551761357957135e-06
0x08FC92630e746a70d56C1B97Ebc91cbC6B111111,8.801793340491447e-07
0x092e18c78FeFf44f8Bd9A69198e5c9D82B5A7163,4.453713436659951e-07
0x095f5818e0e131591F76c36eDBec2257e7a188c6,3.336784034220258e-07
0x09A6ab4728E08E17A0e6Aa9Dc44dFEF58a2BE24D,5.153321787841652e-06
0x09B1330E9b793AB5C9701C7bB5a3976dFE64f230,4.0756504481759114e-08
0x09E4E748Ba0e3299003B04544106e20906F94311,7.551276888076759e-07
0x09Ff269863A36B7A189626BAbfB2a836fc6E27cc,9.367409865348732e-07
0x09a0E86FC64b314e8eD04f90041A740b6F681Bb7,1.1081846145412369e-07
0x09c02D0D3eC95922Fb8384fcfdc1CA90096601ee,2.3757318933745997e-07
0x0A7E47FB498AB7F942f244A27ad6F953821B6082,1.5129626575275994e-06
0x0A7cBFbBb13F7853dA04630350e44324e6CCd56A,9.068190726620336e-07
0x0A9430037F030813bf451CCA79CaF0EAbd614bEf,5.484410038630257e-08
0x0ACE0C89C56Ce23C0B9C38A008ad0DC1D3968801,1.1631801746806394e-05
