user,btc_blocks,fraction
0x310269e220749a71018310e22d006ead1fc2c764,2967598.2523963675,0.0010458942794341008
0xa37ab42ae008d03a33649893bd8da847e7d3358f,2900617.1870959406,0.00102228760930227
0xefcef7f134e8f24890ac57b333a8dc710d0e6b5f,2872086.751914143,0.001012232400878316
0x65d02bb13f515dd105fb733e9e31f11a2f65e57f,2859889.550241489,0.001007933643981478
0x03869f45d0a768e7d63dde40dd429361c0090382,2787798.4663172895,0.0009825260093012655
0x80ad7547d879ab0481eda439bf0514e02b0cc2b9,2763301.134345553,0.0009738922195522833
0x9e65a68b05d06a054e07dc7060ec2bb8bc2b9313,2699995.317094305,0.0009515808463519135
0x0d18568cc8b6b03218a15b356e9bbf5d5f44f5ab,2692974.618824245,0.000949106485763394
0x322ae209ab4fcdeb80614640d86a46d482fa35aa,2665238.1730745016,0.000939331109356542
0xc7be26aba75daba73d9f4c202a16fb5ca7abc238,2663224.2839011643,0.0009386213383610554
0xd6ffc26607a60a0c5383533fd53f7c47c26d62d4,2639457.01496852,0.0009302448505415362
0xc441424302f32b0f68f8d4a604bf3e7c01a5372b,2625725.653598509,0.0009254053975279283
0x9dab6cfa1c8a40991ad3a6a9f9db54387c01dd97,2585777.2903878954,0.0009113260778218337
0xd13fee2d090e40837ba597862531b0da0b3f5c44,2515038.0777998944,0.0008863948939199296
0x0d2b5a818cc377fcc7a1dd1470e9d8fcc87b092d,2483281.64490007,0.0008752027214355514
0x37863df4712e4494dffc4854862259399354b2bb,2483128.0590984295,0.000875148591968664
0xf4dc338b1b1184f84a461f0bb2f974fc90a81456,2457181.860227313,0.0008660041665227848
0x12667125770eb9fb46c48db659d3275e8fcd2ed7,2402411.5673341714,0.0008467010361298452
0x3786cf7db45e36ad768d2ef856ac240b56a3d42b,2396815.5439566663,0.0008447287850566461
0xc9b203ce97c7dd5be527203b2be7d38977da9334,2381251.1459735627,0.0008392433003552657
0xf105ffbe4f1dc64c80463b48446463111408726d,2374214.9433618276,0.0008367634754481677
0xe6b9ac396e0f1a885da06b9a6c21dc7c499b51de,2174954.5363545045,0.0007665365437405552
0x7bc16587416f342af4294b46e7b7a3b366c4bc57,2171102.5099690845,0.000765178943412584
0xaac3304f858f8beab4231f62206b01311e32c9ca,2123222.7157196687,0.000748304286317235
0x4718fc7e40092a9d5fc584699aea1aa4c6f63d33,2086341.9660860538,0.0007353061100877232
0xdf81987465681d0515058fe0a47a3bd174012730,2038292.9194591546,0.0007183718020294289
0x34597d74bde978c33f7a011c31cf5ace4af90471,2035626.9195600634,0.0007174322024589075
0x616c18b6e555c62570fa6a513637c3135cee3871,2007216.1787600992,0.0007074191788789223
0x9134955abb88a0f6300b146c227045015f0c9549,1999978.970926014,0.0007048685121009536
0xa55c11ead5001ddcfe78323a356dd1154bea74c1,1989353.7572274478,0.0007011237834416342
0x9f9b35d64e16e1ed1cae5b3b5b83a1663f59c00f,1984587.85566014,0.000699444098807244
0x53520308801aa8953f26758ef6f44ca2c829cd15,1979962.1565826149,0.0006978138268525883
0xc64844d9b3db280a6e46c1431e2229cd62dd2d69,1979445.5323438058,0.0006976317488588601
0x55613011bd8b1020592769b64c40c557d2aa7310,1938844.006111124,0.0006833222297085626
0xe4688bad867d4502deabe493840f73a5cfc95011,1923803.7741247648,0.0006780214810027051
0xe4fbe442510645f392fca2177282bc3c123a0e6b,1922052.2504295562,0.0006774041775615697
0x64ec24675d7bbc80f954ff15edd57d381f5b3e1a,1921042.3662898696,0.0006770482560537522
0x68ef7102f672ce99790afa72f7471ec6ad7ed509,1904880.5118075362,0.0006713522050015354
0xafc170be4f9e7027bff52417b388df3247adc606,1901294.8784201562,0.0006700884916788238
0x89694aa572f7f171f5e37b967470e754d63af540,1887369.1669722882,0.0006651805423199058
0x5c978126a7237c6d9350a05872e8ff40582a5d81,1855123.833119875,0.0006538160625802887
0x0dafb2189c7885b3bbcfe09c8d2e8f8675e98ae2,1844992.332931244,0.0006502453373041102
0x87d60740eb767992fbf5dc857f869eb76e81d55c,1840543.662980018,0.0006486774571339018
0xa9ffe7dbe8cb20f493dbf875ff0fdb10fedbcc24,1813638.364402736,0.0006391950085424449
0x5b191f5a2b4a867c4ed71858daccc51fc59c69c0,1809542.558214063,0.0006377514909574939
0xd1abe5db14d073883f2084c2af105652102bdefc,1756479.4491406758,0.0006190500369503594
0x029974545315aecdc21650b17fc16f5b331bc817,1746717.5097001367,0.0006156095589109897
0xa6d821693855f34f7fd93a856e18474df729d44c,1743178.2128152873,0.0006143621763307857
0xcdf666af010fb5dce952c7cada18377753197172,1733937.365630216,0.0006111053509838283
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,1696182.6339587676,0.0005977991503062769
0x12b0e1b718b33d16512bd7a81c3680faee3c7e3f,1693944.529566167,0.0005970103573559146
0x009ae54bf26fccaa4c5a1443ebded3e472849371,1669506.0576385786,0.0005883973121209218
0xe5e057780e7292340c233c675de60737de413990,1661330.9515530113,0.0005855160943948508
0x57775cb0c39671487981706ffb1d3b3ff65ebb1f,1646481.090456737,0.0005802824396174757
0xba4eed5a9e6acb87e298f6f11e278404f8da28df,1623307.6602975419,0.0005721152431248924
0xf93cdc78c85449a2612b6247a424a3c357e56818,1613246.087424222,0.0005685691628891944
0x2354f13082c393980d7442ec277ae3b8a14be4e1,1601642.6550702702,0.000564479672840803
0x813f98977a00ca98b453e3d963294bef326c40dd,1571738.166880337,0.0005539401959752943
0x875f90e4b0087770ba7225a7380ba1e4eb7f6066,1565947.3109162967,0.0005518992785024099
0x04e94b6872f3407b64049917c67894384d4638dc,1549533.7817015224,0.0005461145277204622
0xc7e6da4d1373baba0033a9799470b3b4900f338c,1546751.2848121698,0.0005451338701881405
0x642008d8244304e37e50f291a77ae483a408198b,1543846.4832783039,0.0005441101078561913
0xbae17c108f8ec924125453024c772efb72be88ae,1521998.2135457685,0.0005364099482034015
0x139741f1d771d386f1173a0ba79058aa24238f45,1498751.4541950743,0.0005282169077200278
0x5c9c6a11094835f47be940faad702985489e4de8,1486767.2390887903,0.0005239932153745263
0x0cec743b8ce4ef8802cac0e5df18a180ed8402a7,1469255.573249884,0.0005178214395590217
0xf49b3852419160376e19053785a3f09cf47e0e15,1458504.2527487285,0.000514032266075232
0xd85d9b5b5c874de0dbdaeadb87b4f2ac2aea0452,1453025.9545099402,0.0005121015058099718
0x45b8836a32b6d394e5e24883a5773d623195074a,1449059.374130222,0.0005107035323057373
0x2e7394608e93cd00c3ee85df0c28e630b495e222,1415454.9822266647,0.0004988600689166444
0xdff97ec667db6e1231462220d8943cb9001c18df,1371845.2866064822,0.0004834903566787498
0x30c4e819bc579ee4e1d56f7e941a9652664bbfe3,1345821.3357022384,0.0004743185284647914
0x94a468fcb53a043bf5cd95ef21892e02c71134be,1301871.9482617332,0.00045882909593411147
0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,1295633.907810162,0.0004566305736719056
0x6fe86525e627466dfb2581511a428cf294b261c3,1290242.0001260326,0.0004547302607176457
0x792871ad947a5118e7d4d38a75183d0831aefee6,1290197.132580443,0.0004547144476913284
0xb6c6a9b974b764c0cc173acb0b10b4624376f1be,1287146.7566853452,0.0004536393794282202
0x58b61d71a801beffe49ed1a8e01a908be965ca1b,1286257.6991981766,0.00045332604181954397
0xbfb496acb99299e9ece84b3fd1b3fdd0f6cddf49,1280879.1861710115,0.00045143044965088327
0x4dff4dd11e8ac49327eb8890aafae2d370783b34,1275981.054390625,0.00044970416206971094
0xe751970824f3bcbf97e611e351c1136776be1ce9,1271145.6111211835,0.0004479999682995626
0xabf2a7d999d7ebf2a0e29f267e6bc93198818a96,1269029.7692183661,0.00044725426529190087
0x618f2d5932b4d29bda43a96be1eef390e1916e24,1262901.4809742775,0.0004450944238740001
0xae919831ae7c3bebfde21deb2ba8ba421c1319cc,1256207.980493724,0.00044273538020751086
0xc678d67edb134a1d22a15b85912b5b3b8a56116b,1235111.6588916373,0.00043530023562117503
0x5823ce923c85426dfec713075e62798751311a49,1234995.153016134,0.00043525917452787806
0x2d753f3917872d938adab6acdc4c5254524e1b12,1232626.5343231247,0.00043442438338349773
0x2eec8ffa58da155eaff67c6cd98b144518653f7f,1230187.8319378316,0.0004335648920854554
0x1105c075a4034c57d1457151b2d7cab2ed99b122,1229115.1017528414,0.00043318682124552564
0x765decf4fa157756e850c1079f60801b9219edd1,1227490.998386586,0.00043261442556541483
0x1e501f3a56ac14a41ba548b9faef75b96fd50c4c,1218031.2375362013,0.0004292804467324503
0x19e4ac3c6406ed797fb36a90773ddae0cb6311c5,1212779.8090085406,0.00042742964396576776
0x0e01b9d728bef0f3a0d88be539704a6513bec4c7,1206151.8413811794,0.00042509369656448673
0xeb550ced52e86a865a0fc7ace74a4a9d9441fb8f,1199121.6094777088,0.0004226159759616398
0x777defa08c49f1ebd77b87abe664f47dc14cc5f7,1197329.5058054053,0.0004219843705960882
0xfd66a17d3008568ab9c5814e512a123d360ae6d4,1189763.809903719,0.0004193179321531076
0x80d0d54050c15971b21e877d95441800f5aa9ee8,1188880.2462562516,0.00041900653078209794
0x5999e9df9c310775c21881e7469c7b990acdc556,1181686.027177826,0.00041647101487355304
0xff1882511a5673194b252c35f2530562f74f47e4,1180177.9845814768,0.00041593952341462966
0x238b4d4ebd41c8570bfa2fc859cad272e1042502,1177773.6642631036,0.00041509214966217414
0x36f26e2e5bed062968c17fc770863fd740713205,1170277.3639769878,0.00041245016886850113
0x873b644f499f725ad842095f08aae7190726abd9,1157481.8482221276,0.0004079405433760308
0x0f754c49f8ce47c6821b727a3136ad79a6a44428,1154052.2684186676,0.0004067318292603633
0x310181e1ffd470ac32023f2633355a44fc24a240,1150988.5445542943,0.0004056520566661699
0xa9ee9a1a42539de87438f9d14cdabcf32a46700b,1139992.5764268835,0.0004017766600716303
0x97e3e2d1e89f9e9190dda12a39dcfe1da0f7b0bf,1139028.8977586767,0.00040143702312600386
0x2c486ef7e2c321a76e1b83852582d26e8c62e9df,1134358.9030484958,0.00039979113970885953
0x294566f33cf7c14649600c4281b5a3989df4358f,1132855.5588893963,0.000399261304157584
0x9cbae8c52578e8faa3d50632057f1e0a7d4411d7,1107239.2357984455,0.0003902331394593044
0x53856c7e3d31416366d30d65e80640590fd789c6,1104492.8556465474,0.00038926521083631707
0x3fff9bf527ca68b566c630f281d319bb17c886f1,1098235.601803642,0.00038705991704563055
